field,ui_file:lines,live_endpoint,live_jsonpath_or_dom,publish_file_or_endpoint,publish_jsonpath,transform_file:lines,transform_symbol,raw_sources,verdict,root_cause_short,evidence_refs
runtime.env,public/ops/index.html:638-639,/api/mission-control/summary,data.runtime.env,/api/mission-control/summary,data.runtime.env,functions/api/mission-control/summary.js:1619,profilePick.key,detectPreviewMode(url,env) -> pickProfile(previewMode,profiles),UNDECIDABLE,LIVE_URL not provided - cannot verify live value,functions/api/mission-control/summary.js:744-756:detectPreviewMode functions/api/mission-control/summary.js:760-764:pickProfile functions/api/mission-control/summary.js:1619:assignment public/ops/index.html:638-639:display
runtime.schedulerExpected,public/ops/index.html:652-654,/api/mission-control/summary,data.runtime.schedulerExpected,/api/mission-control/summary,data.runtime.schedulerExpected,functions/api/mission-control/summary.js:1460,Boolean(expectedFlags.scheduler),expectedFlags from profilePick.profile.expected,UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1460:computation functions/api/mission-control/summary.js:1049:expectedFlags public/ops/index.html:652-654:display
runtime.schedulerExpectedReason,public/ops/index.html:655-656,/api/mission-control/summary,data.runtime.schedulerExpectedReason,/api/mission-control/summary,data.runtime.schedulerExpectedReason,functions/api/mission-control/summary.js:1461-1463,conditional string,expectedFlags.scheduler boolean,UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1461-1463:computation public/ops/index.html:655-656:display
runtime.hostname,public/ops/index.html:640-644,/api/mission-control/summary,data.runtime.hostname,/api/mission-control/summary,data.runtime.hostname,functions/api/mission-control/summary.js:1625,previewMode.hostname,url.hostname from request,UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:744-756:detectPreviewMode functions/api/mission-control/summary.js:1625:assignment public/ops/index.html:640-644:display
health.platform.status,public/ops/index.html:602-607,/api/mission-control/summary,data.health.platform.status,/api/mission-control/summary,data.health.platform.status,functions/api/mission-control/summary.js:1502,platformStatus,hasKV + expectedFlags.kv,UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1502:assignment functions/api/mission-control/summary.js:1001:hasKV public/ops/index.html:602-607:renderHealthTile
health.platform.reason,public/ops/index.html:602-607,/api/mission-control/summary,data.health.platform.reason,/api/mission-control/summary,data.health.platform.reason,functions/api/mission-control/summary.js:1503,conditional string,hasKV + expectedFlags.kv,UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1503:assignment public/ops/index.html:602-607:renderHealthTile
health.api.status,public/ops/index.html:602-607,/api/mission-control/summary,data.health.api.status,/api/mission-control/summary,data.health.api.status,functions/api/mission-control/summary.js:1510,apiStatus (hardcoded OK),always OK,UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1510:assignment public/ops/index.html:602-607:renderHealthTile
health.prices.status,public/ops/index.html:602-607,/api/mission-control/summary,data.health.prices.status,/api/mission-control/summary,data.health.prices.status,functions/api/mission-control/summary.js:1517,pricesHealth.status,buildPricesHealth(priceTruth),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1517:assignment functions/api/mission-control/summary.js:593:buildPricesHealth public/ops/index.html:602-607:renderHealthTile
health.pipeline.status,public/ops/index.html:602-607,/api/mission-control/summary,data.health.pipeline.status,/api/mission-control/summary,data.health.pipeline.status,functions/api/mission-control/summary.js:1528,pipelineHealth.status,buildPipelineHealth(...),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1528:assignment functions/api/mission-control/summary.js:1440:buildPipelineHealth public/ops/index.html:602-607:renderHealthTile
health.freshness.status,public/ops/index.html:602-607,/api/mission-control/summary,data.health.freshness.status,/api/mission-control/summary,data.health.freshness.status,functions/api/mission-control/summary.js:1519,freshnessHealth.status,buildFreshnessHealth(...),UNDECIDABLE,LIVE_URL not provided,functions/api/mission-control/summary.js:1519:assignment public/ops/index.html:602-607:renderHealthTile
