field,ui_location,api_endpoint,handler_path,source_artifact_path,observed_value,expected_value,verdict,root_cause,minimal_fix
runtime.env,public/ops/index.html:638-639,/api/mission-control/summary,functions/api/mission-control/summary.js:1619,detectPreviewMode(url,env) -> pickProfile(previewMode,profiles),"preview","preview" (for .pages.dev hostname),CORRECT,Hostname-based detection correct,None needed
runtime.schedulerExpected,public/ops/index.html:652-654,/api/mission-control/summary,functions/api/mission-control/summary.js:1460,expectedFlags from profilePick.profile.expected,false,false (preview mode),CORRECT,Profile-based expectation correct,None needed
health.platform.status,public/ops/index.html:602-607,/api/mission-control/summary,functions/api/mission-control/summary.js:1502,hasKV + expectedFlags.kv from profile,"INFO","INFO" (preview: KV not expected),CORRECT (but yellow),Preview mode: KV not expected → INFO per health-profiles.v1.json,Option: Change statusClass('INFO') to 'ok' in preview mode OR accept yellow as correct
health.platform.reason,public/ops/index.html:602-607,/api/mission-control/summary,functions/api/mission-control/summary.js:1503,hasKV + expectedFlags.kv,"NOT_EXPECTED","NOT_EXPECTED" (preview mode),CORRECT,Reason matches preview mode expectation,None needed
health.api.status,public/ops/index.html:602-607,/api/mission-control/summary,functions/api/mission-control/summary.js:1510,hardcoded "OK","OK","OK",CORRECT,Hardcoded OK correct,None needed
health.prices.status,public/ops/index.html:602-607,/api/mission-control/summary,functions/api/mission-control/summary.js:1517,buildPricesHealth(priceTruth) -> P6_API_CONTRACT step,"OK","OK" (P6 step passed),CORRECT,P6 contract check passed,None needed
health.pipeline.status,public/ops/index.html:602-607,/api/mission-control/summary,functions/api/mission-control/summary.js:1528,computePipelineStatus(pipelineCounts,pipelineExpected,expectedFlags.pipeline),"INFO","INFO" (preview: pipeline not expected),CORRECT (but yellow),Preview mode: pipeline not expected → INFO per health-profiles.v1.json,Option: Change statusClass('INFO') to 'ok' in preview mode OR accept yellow as correct
health.pipeline.reason,public/ops/index.html:602-607,/api/mission-control/summary,functions/api/mission-control/summary.js:1529,computePipelineStatus -> reason,"NOT_EXPECTED","NOT_EXPECTED" (preview mode),CORRECT,Reason matches preview mode expectation,None needed
health.freshness.status,public/ops/index.html:602-607,/api/mission-control/summary,functions/api/mission-control/summary.js:1519,computeFreshnessStatus(ageHours,thresholdProfile,expectedFlags.pipeline),"INFO","INFO" (preview: freshness not expected),CORRECT (but yellow),Preview mode: freshness not expected → INFO per health-profiles.v1.json,Option: Change statusClass('INFO') to 'ok' in preview mode OR accept yellow as correct
health.freshness.reason,public/ops/index.html:602-607,/api/mission-control/summary,functions/api/mission-control/summary.js:1520,computeFreshnessStatus -> reason,"NOT_EXPECTED","NOT_EXPECTED" (preview mode),CORRECT,Reason matches preview mode expectation,None needed
health.freshness.age_hours,public/ops/index.html:738-739,/api/mission-control/summary,functions/api/mission-control/summary.js:1521,marketPricesSnapshot.meta.asOf -> Date.now() diff,258.6,258.6 (age calculation),CORRECT,Age calculation correct,None needed
budgets.workersRequests.usedToday,public/ops/index.html:634,/api/mission-control/summary,functions/api/mission-control/summary.js:1088,kvGetInt(env,dash.callsDay),0,0 (preview: no KV writes),CORRECT,KV read returns 0 in preview,None needed
opsLive.cloudflare.requestsLast24h,public/ops/index.html:635,/api/mission-control/summary,functions/api/mission-control/summary.js:1584,fetchCloudflareWorkerRequests(env),null,null (CF analytics not configured),CORRECT,Null correct (CF analytics not configured),None needed
opsBaseline.baseline.safety.kvWritesToday,public/ops/index.html:659,/api/mission-control/summary,functions/api/mission-control/summary.js:1384-1388,fetchAssetJson(/data/ops/baseline.json).safety.kvWritesToday,0,0 (no active locks),CORRECT,Baseline read returns 0,None needed
pipeline.counts.fetched,public/ops/index.html:688-697,/api/mission-control/summary,functions/api/mission-control/summary.js:1247,fetchAssetJson(/data/pipeline/nasdaq100.latest.json).counts.fetched,100,100 (expected),CORRECT,Fetched count correct,None needed
