WORKFLOW_FILE,WORKFLOW_NAME,WORKFLOW_ID,STATE,TOTAL_RUNS,SUCCESS,FAILURE,SUCCESS_RATE,LAST_RUN,LAST_SUCCESS
".github/workflows/v3-finalizer.yml","v3 Finalizer",224941564,active,30,0,30,0%,2026-02-09T23:05:35Z,NEVER
".github/workflows/v3-scrape-template.yml","v3 Scrape Template",225058763,active,30,0,30,0%,2026-02-09T23:05:24Z,NEVER
".github/workflows/ci-gates.yml","CI Gates - Quality & Budget Checks",225061032,active,30,18,12,60%,2026-02-09T14:46:58Z,2026-02-09T14:46:58Z
".github/workflows/cleanup-daily-snapshots.yml","Cleanup Daily Snapshots",225061033,active,3,3,0,100%,2026-02-08T04:28:18Z,2026-02-08T04:28:18Z
".github/workflows/wp16-manual-market-prices.yml","WP16 Manual - Market Prices (Stooq)",226498514,active,30,0,30,0%,2026-02-08T17:54:07Z,NEVER
".github/workflows/refresh-health-assets.yml","Refresh Health Assets",227016585,active,15,13,2,86%,2026-02-10T07:32:23Z,2026-02-08T07:08:04Z
".github/workflows/ops-daily.yml","Ops Daily Snapshot",227442620,active,30,2,28,6%,2026-02-10T08:02:48Z,2026-02-10T08:02:48Z
".github/workflows/eod-latest.yml","EOD Latest (NASDAQ-100)",227511913,active,30,0,30,0%,2026-02-09T22:54:36Z,NEVER
".github/workflows/scheduler-kick.yml","Scheduler Kick",228731024,active,30,0,30,0%,2026-02-10T22:00:48Z,NEVER
".github/workflows/e2e-playwright.yml","e2e-playwright",228798833,active,30,0,30,0%,2026-02-09T14:46:58Z,NEVER
".github/workflows/forecast-daily.yml","Forecast Daily Pipeline",230643544,active,4,3,1,75%,2026-02-10T21:37:13Z,2026-02-10T21:37:13Z
".github/workflows/forecast-monthly.yml","Forecast Monthly Report",230643545,active,0,0,0,0%,NEVER,NEVER
".github/workflows/forecast-weekly.yml","Forecast Weekly Training",230643546,active,1,1,0,100%,2026-02-08T06:35:01Z,2026-02-08T06:35:01Z
".github/workflows/ci-determinism.yml","CI Determinism Check",230903513,active,16,11,4,68%,2026-02-09T14:46:58Z,2026-02-09T14:46:58Z
".github/workflows/ci-policy.yml","CI Policy Check",230903514,active,12,11,0,91%,2026-02-10T21:28:12Z,2026-02-10T21:28:12Z
".github/workflows/eod-history-refresh.yml","EOD History Refresh",230903515,active,5,5,0,100%,2026-02-10T22:02:22Z,2026-02-10T22:02:22Z
".github/workflows/forecast-rollback.yml","Forecast Rollback",230907136,active,0,0,0,0%,NEVER,NEVER
".github/workflows/ops-auto-alerts.yml","Ops Auto-Alerts",230907137,active,4,4,0,100%,2026-02-10T22:42:56Z,2026-02-10T22:42:56Z
".github/workflows/universe-refresh.yml","Universe Refresh",231381266,active,1,1,0,100%,2026-02-06T19:38:03Z,2026-02-06T19:38:03Z
".github/workflows/monitor-prod.yml","Monitor Production Artifacts",232183192,active,2,0,2,0%,2026-02-10T18:59:53Z,NEVER
